player,avg_xFG,actual_fg_pct,makes,attempts,avg_residual,residual_fg_pct
GG Jackson,0.5017312094236172,0.4824561403508772,110,228,-0.019275069072739903,-0.01927506907273996
Brandon Williams,0.4864443901441983,0.46621621621621623,207,444,-0.020228173927982068,-0.020228173927982096
Nic Claxton,0.610203105477092,0.5898617511520737,256,434,-0.020341354325018286,-0.020341354325018268
Wendell Carter Jr.,0.5127096645872276,0.4918032786885246,210,427,-0.02090638589870296,-0.020906385898702973
Justin Champagnie,0.5212821118472458,0.5,149,298,-0.021282111847245818,-0.02128211184724582
Miles Bridges,0.4699680265839594,0.4485006518904824,344,767,-0.02146737469347699,-0.021467374693477037
Draymond Green,0.43843883616480206,0.41690962099125367,143,343,-0.021529215173548395,-0.02152921517354839
Matas Buzelis,0.4970519956420312,0.47385103011093505,299,631,-0.023200965531096164,-0.02320096553109613
Alex Sarr,0.5190746803988402,0.4956521739130435,285,575,-0.02342250648579675,-0.02342250648579669
Dennis Schröder,0.42407285703400754,0.40043763676148797,183,457,-0.023635220272519544,-0.023635220272519575
Javonte Green,0.4699437544695934,0.44565217391304346,123,276,-0.02429158055654994,-0.024291580556549952
Jaylen Wells,0.44023195458712855,0.4149139579349904,217,523,-0.025317996652138162,-0.02531799665213813
Donovan Clingan,0.5513752728765462,0.5259593679458239,233,443,-0.025415904930722245,-0.02541590493072232
Caleb Love,0.4151456085908987,0.38969072164948454,189,485,-0.025454886941414206,-0.02545488694141418
Jerami Grant,0.4641556202957946,0.43833017077798864,231,527,-0.02582544951780601,-0.025825449517805965
Ja'Kobe Walter,0.45508650170029186,0.42920353982300885,97,226,-0.02588296187728299,-0.025882961877283006
Tristan da Silva,0.453614801135633,0.42699724517906334,155,363,-0.026617555956569665,-0.026617555956569672
Kevin Porter Jr.,0.474639734831489,0.4476439790575916,171,382,-0.026995755773897408,-0.0269957557738974
Bruce Brown,0.48965742396903383,0.4622093023255814,159,344,-0.027448121643452415,-0.02744812164345245
Terance Mann,0.4785915354053559,0.4507042253521127,128,284,-0.02788731005324313,-0.027887310053243186
Collin Murray-Boyles,0.5808569736994339,0.5525291828793775,142,257,-0.02832779082005648,-0.02832779082005643
Anthony Davis,0.5355646381494552,0.5059880239520959,169,334,-0.029576614197359442,-0.029576614197359352
Dyson Daniels,0.5281599631236391,0.49818181818181817,274,550,-0.02997814494182091,-0.02997814494182094
Evan Mobley,0.5426652499914104,0.5123239436619719,291,568,-0.030341306329438586,-0.030341306329438544
Ben Sheppard,0.43152681733066933,0.4007936507936508,101,252,-0.030733166537018533,-0.03073316653701852
Simone Fontecchio,0.4224363536719849,0.3910761154855643,149,381,-0.03136023818642056,-0.031360238186420586
Gradey Dick,0.4551113623878672,0.423728813559322,125,295,-0.03138254882854513,-0.03138254882854519
Tyrese Martin,0.42404991440683254,0.39215686274509803,100,255,-0.031893051661734485,-0.031893051661734506
Isaac Okoro,0.4980431670884775,0.4658385093167702,150,322,-0.032204657771707286,-0.032204657771707335
Bam Adebayo,0.47480374013521554,0.4425531914893617,312,705,-0.032250548645853784,-0.03225054864585386
Anthony Black,0.49272918233396706,0.46015037593984964,306,665,-0.03257880639411745,-0.03257880639411742
Ziaire Williams,0.44977252957433994,0.4166666666666667,120,288,-0.033105862907673235,-0.033105862907673256
Ace Bailey,0.4835840356798624,0.4498069498069498,233,518,-0.033777085872912595,-0.033777085872912616
Saddiq Bey,0.4793868993041794,0.44551282051282054,278,624,-0.0338740787913589,-0.03387407879135884
Jordan Goodwin,0.4401269556132786,0.405152224824356,173,427,-0.0349747307889226,-0.0349747307889226
Paolo Banchero,0.4889467174307634,0.4537313432835821,304,670,-0.03521537414718135,-0.03521537414718129
Jarace Walker,0.4393441067712022,0.40372670807453415,195,483,-0.03561739869666808,-0.03561739869666808
Jared McCain,0.4281349960866178,0.3923076923076923,102,260,-0.03582730377892556,-0.03582730377892551
Zaccharie Risacher,0.4851927670667812,0.4490861618798956,172,383,-0.03610660518688569,-0.03610660518688563
Dylan Harper,0.503363044376985,0.4666666666666667,189,405,-0.036696377710318286,-0.036696377710318306
Kel'el Ware,0.5692528106575023,0.5315315315315315,236,444,-0.03772127912597073,-0.037721279125970786
Stephon Castle,0.5022740475328223,0.46368715083798884,249,537,-0.03858689669483348,-0.038586896694833506
Precious Achiuwa,0.5392096150719179,0.5,144,288,-0.039209615071917905,-0.03920961507191789
Noah Clowney,0.43197993047377264,0.3920335429769392,187,477,-0.03994638749683345,-0.039946387496833435
