x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_distance
6.93467336683417,-0.24566105849713504,-1.5675645174851671,1.0762424004908973,NBA,Shot Distance,2014-2024,13.0
7.236180904522612,-0.2443614276970857,-1.5638085191979325,1.0750856638037611,NBA,Shot Distance,2014-2024,13.0
7.537688442211055,-0.24084660169457395,-1.5577753724784573,1.0760821690893094,NBA,Shot Distance,2014-2024,13.0
7.839195979899497,-0.2353291767456105,-1.5496774702348055,1.0790191167435845,NBA,Shot Distance,2014-2024,13.0
8.140703517587939,-0.22798082588073854,-1.5396869247438707,1.0837252729823936,NBA,Shot Distance,2014-2024,13.0
8.442211055276381,-0.21897321868483655,-1.5279761001881864,1.0900296628185135,NBA,Shot Distance,2014-2024,13.0
8.743718592964823,-0.2084780247427842,-1.5147175286773364,1.097761479191768,NBA,Shot Distance,2014-2024,13.0
9.045226130653266,-0.1966669136394592,-1.5000838303148314,1.106750003035913,NBA,Shot Distance,2014-2024,13.0
9.346733668341708,-0.18371155495974056,-1.4842476407579093,1.116824530838428,NBA,Shot Distance,2014-2024,13.0
9.64824120603015,-0.16978361828850708,-1.4673815463106588,1.1278143097336446,NBA,Shot Distance,2014-2024,13.0
9.949748743718592,-0.15505477321063776,-1.449658026603953,1.1395484801826774,NBA,Shot Distance,2014-2024,13.0
10.251256281407034,-0.1396966893110112,-1.431249404928562,1.1518560263065398,NBA,Shot Distance,2014-2024,13.0
10.552763819095476,-0.12388103617450597,-1.4123278063002205,1.1645657339512085,NBA,Shot Distance,2014-2024,13.0
10.854271356783919,-0.10777948338600085,-1.3930651233471942,1.1775061565751923,NBA,Shot Distance,2014-2024,13.0
11.15577889447236,-0.09156370053037444,-1.3736329901220299,1.1905055890612808,NBA,Shot Distance,2014-2024,13.0
11.457286432160803,-0.07540535719250552,-1.3542027639497716,1.2033920495647605,NBA,Shot Distance,2014-2024,13.0
11.758793969849245,-0.05947612295727356,-1.3349455154352063,1.2159932695206594,NBA,Shot Distance,2014-2024,13.0
12.060301507537687,-0.043947667409556246,-1.316032026761949,1.2281366919428367,NBA,Shot Distance,2014-2024,13.0
12.36180904522613,-0.0289916601342326,-1.2976327984267961,1.239649478158331,NBA,Shot Distance,2014-2024,13.0
12.663316582914572,-0.014779770716181861,-1.2799180645641066,1.250358523131743,NBA,Shot Distance,2014-2024,13.0
12.964824120603014,-0.0014836687402821624,-1.2630578170275761,1.260090479547012,NBA,Shot Distance,2014-2024,13.0
13.266331658291456,0.010724976208587256,-1.2472218384109888,1.2686717908281635,NBA,Shot Distance,2014-2024,13.0
13.567839195979898,0.021674494545548262,-1.2325797442058903,1.2759287332969869,NBA,Shot Distance,2014-2024,13.0
13.86934673366834,0.031193216685721836,-1.2193010343129735,1.2816874676844174,NBA,Shot Distance,2014-2024,13.0
14.170854271356783,0.03910947304422896,-1.2075551541456313,1.2857741002340892,NBA,Shot Distance,2014-2024,13.0
14.472361809045225,0.04525159403619128,-1.1975115655888187,1.2880147536612012,NBA,Shot Distance,2014-2024,13.0
14.773869346733667,0.04948359610324893,-1.1893046507990097,1.2882718430055073,NBA,Shot Distance,2014-2024,13.0
15.07537688442211,0.0518576732050553,-1.1828834765951481,1.2865988230052585,NBA,Shot Distance,2014-2024,13.0
15.376884422110551,0.0524878213478881,-1.1781363738406798,1.283112016536456,NBA,Shot Distance,2014-2024,13.0
15.678391959798994,0.05148807321527382,-1.1749517541534922,1.2779279005840396,NBA,Shot Distance,2014-2024,13.0
15.979899497487436,0.04897246149074008,-1.1732180761934872,1.2711629991749673,NBA,Shot Distance,2014-2024,13.0
16.281407035175878,0.04505501885781338,-1.1728237826332861,1.2629338203489129,NBA,Shot Distance,2014-2024,13.0
16.58291457286432,0.039849778000020875,-1.1736572440593978,1.2533568000594395,NBA,Shot Distance,2014-2024,13.0
16.884422110552762,0.03347077160088929,-1.1756067099152103,1.2425482531169891,NBA,Shot Distance,2014-2024,13.0
17.185929648241206,0.026032032343945577,-1.1785602666162975,1.2306243313041885,NBA,Shot Distance,2014-2024,13.0
17.487437185929647,0.017647592912716892,-1.1824058029869093,1.2177009888123431,NBA,Shot Distance,2014-2024,13.0
17.788944723618087,0.008431485990730403,-1.1870309831839594,1.2038939551654202,NBA,Shot Distance,2014-2024,13.0
18.09045226130653,-0.0015022557384878343,-1.1923232272914397,1.189318715814464,NBA,Shot Distance,2014-2024,13.0
18.391959798994975,-0.01203959959141021,-1.1981696997840305,1.1740905006012101,NBA,Shot Distance,2014-2024,13.0
18.693467336683415,-0.023066512884510226,-1.2044573060739974,1.1583242803049771,NBA,Shot Distance,2014-2024,13.0
18.994974874371856,-0.03446896293426005,-1.211072697370535,1.142134771502015,NBA,Shot Distance,2014-2024,13.0
19.2964824120603,-0.04613291705713407,-1.2179022840958824,1.125636449981614,NBA,Shot Distance,2014-2024,13.0
19.597989949748744,-0.05794434256960446,-1.224832258118172,1.1089435729789632,NBA,Shot Distance,2014-2024,13.0
19.899497487437184,-0.06978920678814382,-1.2317486240775255,1.0921702105012379,NBA,Shot Distance,2014-2024,13.0
20.201005025125625,-0.08155347702922633,-1.2385372400996975,1.075430286041245,NBA,Shot Distance,2014-2024,13.0
20.50251256281407,-0.0931231206093246,-1.2450838682110064,1.0588376269923574,NBA,Shot Distance,2014-2024,13.0
20.804020100502512,-0.1043841048449119,-1.2512742347896166,1.042506025099793,NBA,Shot Distance,2014-2024,13.0
21.105527638190953,-0.1152223970524604,-1.2569941014115737,1.026549307306653,NBA,Shot Distance,2014-2024,13.0
