player,season_window,attempts,mean_sdi,actual_rate,expected_rate,residual,sport,position_group
Cale Makar,2014-2024,1987,26.315598448260186,0.06945143432310015,0.04539807165249299,0.024053362670607162,NHL,D
Erik Haula,2014-2024,1969,23.40130653296118,0.08024377856780092,0.07949714945760772,0.0007466291101932004,NHL,W
James Neal,2014-2024,1968,24.218114757012792,0.07977642276422764,0.07470358609406576,0.0050728366701618816,NHL,W
Derek Stepan,2014-2024,1966,25.180311639353267,0.06052899287894201,0.07123127863762219,-0.010702285758680173,NHL,C
Tanner Pearson,2014-2024,1965,23.981623623525696,0.07684478371501273,0.07927040865794552,-0.0024256249429327886,NHL,W
Josh Morrissey,2014-2024,1962,28.01862535302721,0.04383282364933741,0.039983153099359486,0.003849670549977924,NHL,D
Kevin Shattenkirk,2014-2024,1959,28.886962876016913,0.03879530372639101,0.039182159490824986,-0.0003868557644339729,NHL,D
Keith Yandle,2014-2024,1946,30.332544125479053,0.023124357656731757,0.03515925822879062,-0.01203490057205886,NHL,D
Nick Foligno,2014-2024,1940,22.739977391019853,0.0865979381443299,0.09167308246263005,-0.005075144318300154,NHL,W
Jake DeBrusk,2014-2024,1932,22.26644703929564,0.09989648033126294,0.0873323505785644,0.01256412975269855,NHL,W
Jonathan Toews,2014-2024,1931,22.308986894112635,0.09994821336095287,0.08588309326496692,0.014065120095985956,NHL,C
P.K. Subban,2014-2024,1926,30.21970475983147,0.04205607476635514,0.03240614148783191,0.009649933278523225,NHL,D
Rasmus Ristolainen,2014-2024,1909,30.092370851231113,0.028810895756940808,0.03850742148746674,-0.009696525730525932,NHL,D
Jared Spurgeon,2014-2024,1896,29.101499832459634,0.05590717299578059,0.04578769948565216,0.01011947351012843,NHL,D
Jordan Martinook,2014-2024,1883,24.048123882249875,0.05469994689325544,0.07834705190072928,-0.023647105007473843,NHL,W
Mathew Barzal,2014-2024,1881,23.33316568651853,0.08027644869750133,0.07869077709703702,0.001585671600464314,NHL,C
Phillip Danault,2014-2024,1877,23.470605153784703,0.0713905167820991,0.08200806209504713,-0.010617545312948035,NHL,W
Anthony Beauvillier,2014-2024,1871,21.81129519048836,0.07910208444681988,0.08696839044848785,-0.007866306001667975,NHL,W
Ryan McDonagh,2014-2024,1871,28.275909596657268,0.03260288615713522,0.04065097686983038,-0.00804809071269516,NHL,D
Shea Weber,2014-2024,1869,30.519843494385324,0.05403959336543606,0.03252011872142428,0.021519474644011778,NHL,D
